cut, 2.1810, 1.4140, -0.4507, 0.000000, -0.255483, 0.966813, 0.000000
cut, 2.1810, 1.4140, -0.7507, -0.085708, -0.240678, 0.910786, 0.324340
cut, 2.1810, 1.4140, -1.0206, -0.122218, -0.224354, 0.849011, 0.462503
cut, 2.1798, 1.4162, -1.0259, -0.120905, -0.225077, 0.851673, 0.457575
cut, 2.1785, 1.4184, -1.0312, -0.119554, -0.225840, 0.854321, 0.452591
cut, 2.1771, 1.4205, -1.0364, -0.118166, -0.226642, 0.856952, 0.447552
cut, 2.1758, 1.4226, -1.0416, -0.116741, -0.227484, 0.859565, 0.442460
cut, 2.1744, 1.4247, -1.0468, -0.115279, -0.228367, 0.862157, 0.437316
cut, 2.1729, 1.4268, -1.0519, -0.113780, -0.229290, 0.864726, 0.432121
cut, 2.1714, 1.4289, -1.0570, -0.112245, -0.230254, 0.867271, 0.426878
cut, 2.1699, 1.4309, -1.0621, -0.110674, -0.231260, 0.869789, 0.421588
cut, 2.1684, 1.4329, -1.0671, -0.109068, -0.232308, 0.872279, 0.416254
cut, 2.1668, 1.4349, -1.0720, -0.107427, -0.233397, 0.874738, 0.410876
cut, 2.1652, 1.4369, -1.0770, -0.105752, -0.234528, 0.877164, 0.405459
cut, 2.1636, 1.4389, -1.0819, -0.104043, -0.235702, 0.879555, 0.400003
cut, 2.1619, 1.4408, -1.0867, -0.102302, -0.236918, 0.881910, 0.394512
cut, 2.1602, 1.4427, -1.0915, -0.100528, -0.238176, 0.884226, 0.388988
cut, 2.1585, 1.4446, -1.0963, -0.098724, -0.239476, 0.886501, 0.383433
cut, 2.1567, 1.4465, -1.1011, -0.096890, -0.240819, 0.888734, 0.377850
cut, 2.1549, 1.4483, -1.1058, -0.095026, -0.242204, 0.890922, 0.372242
cut, 2.1531, 1.4501, -1.1104, -0.093134, -0.243631, 0.893065, 0.366613
cut, 2.1512, 1.4519, -1.1150, -0.091216, -0.245100, 0.895160, 0.360964
cut, 2.1493, 1.4537, -1.1196, -0.089271, -0.246611, 0.897205, 0.355299
cut, 2.1473, 1.4555, -1.1242, -0.087303, -0.248163, 0.899199, 0.349621
cut, 2.1454, 1.4572, -1.1287, -0.085310, -0.249755, 0.901140, 0.343933
cut, 2.1433, 1.4589, -1.1331, -0.083296, -0.251389, 0.903028, 0.338239
cut, 2.1413, 1.4606, -1.1376, -0.081261, -0.253062, 0.904860, 0.332541
cut, 2.1392, 1.4623, -1.1420, -0.079207, -0.254776, 0.906636, 0.326843
cut, 2.1371, 1.4639, -1.1463, -0.077134, -0.256528, 0.908354, 0.321149
cut, 2.1350, 1.4656, -1.1506, -0.075046, -0.258319, 0.910013, 0.315460
cut, 2.1328, 1.4672, -1.1549, -0.072942, -0.260148, 0.911613, 0.309781
cut, 2.1306, 1.4687, -1.1591, -0.070825, -0.262014, 0.913152, 0.304116
cut, 2.1283, 1.4703, -1.1633, -0.068696, -0.263917, 0.914629, 0.298466
cut, 2.1261, 1.4718, -1.1675, -0.066556, -0.265856, 0.916045, 0.292836
cut, 2.1238, 1.4734, -1.1716, -0.064408, -0.267829, 0.917398, 0.287229
cut, 2.1214, 1.4749, -1.1757, -0.062252, -0.269838, 0.918688, 0.281648
cut, 2.1190, 1.4763, -1.1797, -0.060090, -0.271880, 0.919914, 0.276095
cut, 2.1166, 1.4778, -1.1837, -0.057924, -0.273954, 0.921077, 0.270575
cut, 2.1142, 1.4792, -1.1877, -0.055756, -0.276060, 0.922176, 0.265089
cut, 2.1117, 1.4806, -1.1916, -0.053586, -0.278198, 0.923212, 0.259642
